#{"t_start": 1700577337.572345, "env_id": "None"}
r,l,t
1042.033048,248,831.278255
317.501212,76,831.638728
2044.837803,616,833.034162
701.42513,183,833.606382
526.669275,125,834.05626
3100.174085,955,836.884621
666.788803,183,837.442865
566.226643,188,838.012716
95.363539,26,838.291984
3603.013864,1001,840.421223
520.199354,118,840.862117
261.900701,61,841.198701
1420.218104,408,842.201343
749.933129,186,842.775267
2299.826354,722,844.390582
3340.284525,1001,847.298809
179.800081,60,847.62733
1076.929148,284,848.376596
1222.173822,488,849.494642
902.259454,288,850.236787
1745.004342,559,851.507934
642.342602,180,852.054815
1811.824786,434,853.079505
1121.188256,297,853.854575
2250.454153,649,855.27516
3091.908161,878,857.953016
1813.223571,501,859.123705
716.619131,194,859.705002
1665.910068,425,860.719257
1467.163986,373,861.638379
1586.349804,448,862.684036
1432.845053,390,863.625161
2295.562351,712,865.172286
2312.88691,629,866.558852
314.19544,107,866.969241
1024.776072,360,868.655594
243.172923,68,868.998618
146.815246,56,869.322139
3485.862,1001,871.424622
1985.965068,491,872.559289
95.671391,26,872.822849
1464.357429,507,873.989301
467.604649,204,874.581314
843.406738,203,875.175511
650.399806,195,875.755705
3100.838205,859,877.561217
490.63111,155,878.061096
294.362907,92,878.447674
2599.786416,638,880.645913
1391.891756,375,881.560355
1268.942309,371,882.469711
2188.025036,578,883.764125
528.40794,125,884.210921
963.302601,272,884.932231
570.757692,142,885.414035
974.00085,276,886.157858
1727.009599,420,887.170296
234.160451,78,887.56111
754.620047,255,888.24807
516.493398,135,888.732975
278.593422,72,889.095208
3061.620689,1001,892.095489
1090.531937,364,893.008101
461.794035,218,893.649007
1256.42952,318,894.453729
1186.051265,325,895.313642
1363.91801,369,896.227942
551.180945,165,896.750954
424.601988,131,897.201679
1154.943374,359,898.125431
791.900231,191,898.718032
2178.121221,690,900.254484
2061.083646,607,902.453604
1008.939005,282,903.214824
1195.475285,367,904.150801
957.627598,238,904.834015
106.349565,104,905.253724
535.243994,317,906.077581
1068.572727,272,906.80953
2600.797564,820,908.610438
2118.941405,680,910.131662
636.913723,187,910.705901
263.966638,76,911.073758
591.568513,151,911.573538
1295.095571,377,913.293238
2225.40528,551,914.532216
2770.354428,782,916.209533
780.970002,201,916.800466
3674.26574,1001,918.89607
2518.866719,799,920.618291
358.341037,157,921.117661
1596.9237,453,922.167979
2318.685051,576,924.246922
2420.530382,667,925.70409
2056.462755,633,927.114421
2377.579865,647,928.538805
3022.705287,841,930.365318
3443.851713,922,933.228646
2461.258798,762,934.8848
772.065399,193,935.449142
422.830553,112,935.87333
190.840273,67,936.246327
1144.446036,277,937.001172
1806.448732,615,938.597987
2924.105604,769,940.410578
502.75477,127,940.901201
493.058432,130,941.392757
2043.129928,493,942.60808
2426.193107,823,945.30428
723.542773,186,945.865477
217.040901,76,946.217972
1886.207975,592,947.599728
2124.671356,655,949.040922
1615.177054,434,950.076798
1767.177898,440,951.117444
410.398324,96,951.503405
2011.540387,515,952.679627
453.106337,127,953.125407
1720.87248,489,954.254049
3229.047955,858,956.907751
1277.710458,375,957.828529
497.706367,136,958.298712
427.900358,192,958.876524
532.357624,193,959.454633
2377.846542,619,960.860264
2833.657561,736,962.454085
3035.9481,820,964.202808
571.599484,145,964.693566
3296.7538,894,967.407159
1794.509244,493,968.561235
2102.593089,573,969.876449
448.095542,106,970.297422
264.031422,71,970.659887
369.923468,119,971.100543
1812.111919,559,972.384224
3081.873934,762,974.018837
339.839426,100,974.427647
1303.784359,377,975.352676
986.293808,243,976.851649
1861.115543,602,978.226982
3410.226314,1001,980.352508
475.400044,170,980.901579
3677.512646,1001,983.035001
1568.782868,535,984.253948
2407.692652,867,986.924214
461.704656,134,987.38644
3068.470203,752,989.008987
3199.137144,1001,991.114972
673.068066,221,991.756762
1335.213791,449,992.797108
840.051297,226,993.43672
657.534915,202,994.023632
3435.24543,977,996.044506
1409.453466,445,997.881695
1199.507108,345,998.747506
215.524701,57,999.074617
585.453665,128,999.531156
3570.354599,955,1001.540488
1086.338926,301,1002.308622
652.351069,194,1002.886061
1691.507451,498,1004.036894
699.087215,208,1004.645549
837.110948,246,1005.328108
2076.768885,582,1006.632251
1356.063665,357,1008.434464
